Engine 1 speed:4.3892, engine 2 speed: 4.51652, engine 3 speed: 4.64208, engine 4 speed: 4.4522
Engine 1 speed:4.27195, engine 2 speed: 4.52731, engine 3 speed: 4.75741, engine 4 speed: 4.44334
Engine 1 speed:4.41439, engine 2 speed: 4.53976, engine 3 speed: 4.61822, engine 4 speed: 4.42763
Engine 1 speed:4.64025, engine 2 speed: 4.48852, engine 3 speed: 4.39822, engine 4 speed: 4.47301
Engine 1 speed:4.63706, engine 2 speed: 4.42627, engine 3 speed: 4.39491, engine 4 speed: 4.54176
Engine 1 speed:4.44199, engine 2 speed: 4.49585, engine 3 speed: 4.59218, engine 4 speed: 4.46998
Engine 1 speed:4.39894, engine 2 speed: 4.45596, engine 3 speed: 4.6423, engine 4 speed: 4.5028
Engine 1 speed:4.44526, engine 2 speed: 4.518, engine 3 speed: 4.59819, engine 4 speed: 4.43855
Engine 1 speed:4.52071, engine 2 speed: 4.53094, engine 3 speed: 4.52132, engine 4 speed: 4.42703
Engine 1 speed:4.528, engine 2 speed: 4.52622, engine 3 speed: 4.52058, engine 4 speed: 4.4252
Engine 1 speed:4.51141, engine 2 speed: 4.49135, engine 3 speed: 4.53393, engine 4 speed: 4.46331
Engine 1 speed:4.54134, engine 2 speed: 4.45441, engine 3 speed: 4.49932, engine 4 speed: 4.50494
Engine 1 speed:4.52692, engine 2 speed: 4.46618, engine 3 speed: 4.51625, engine 4 speed: 4.49065
Engine 1 speed:4.46897, engine 2 speed: 4.51493, engine 3 speed: 4.57258, engine 4 speed: 4.44352
Engine 1 speed:4.45031, engine 2 speed: 4.5641, engine 3 speed: 4.59395, engine 4 speed: 4.39164
Engine 1 speed:4.85256, engine 2 speed: 4.646, engine 3 speed: 4.198, engine 4 speed: 4.30343
Engine 1 speed:4.67599, engine 2 speed: 4.47636, engine 3 speed: 4.3367, engine 4 speed: 4.51095
Engine 1 speed:4.53939, engine 2 speed: 4.45996, engine 3 speed: 4.45092, engine 4 speed: 4.54973
Engine 1 speed:4.60587, engine 2 speed: 4.28035, engine 3 speed: 4.3698, engine 4 speed: 4.74399
Engine 1 speed:4.55092, engine 2 speed: 4.41879, engine 3 speed: 4.42469, engine 4 speed: 4.60559
Engine 1 speed:4.51828, engine 2 speed: 4.48465, engine 3 speed: 4.45488, engine 4 speed: 4.54219
Engine 1 speed:4.46046, engine 2 speed: 4.61394, engine 3 speed: 4.51247, engine 4 speed: 4.41314
Engine 1 speed:4.44628, engine 2 speed: 4.50915, engine 3 speed: 4.52855, engine 4 speed: 4.51602
Engine 1 speed:4.39186, engine 2 speed: 4.62995, engine 3 speed: 4.58354, engine 4 speed: 4.39464
Engine 1 speed:4.39111, engine 2 speed: 4.59816, engine 3 speed: 4.57662, engine 4 speed: 4.43412
Engine 1 speed:4.52536, engine 2 speed: 4.66239, engine 3 speed: 4.44645, engine 4 speed: 4.36579
Engine 1 speed:4.46599, engine 2 speed: 4.50966, engine 3 speed: 4.49662, engine 4 speed: 4.52773
Engine 1 speed:4.56855, engine 2 speed: 4.60131, engine 3 speed: 4.3997, engine 4 speed: 4.43044
Engine 1 speed:4.49783, engine 2 speed: 4.55783, engine 3 speed: 4.45989, engine 4 speed: 4.48445
Engine 1 speed:4.52844, engine 2 speed: 4.47034, engine 3 speed: 4.42285, engine 4 speed: 4.57836
Engine 1 speed:4.52908, engine 2 speed: 4.5844, engine 3 speed: 4.42813, engine 4 speed: 4.45838
